,PC1,PC2,PC3
0.25,0.012524594679974565,0.007192351631791896,0.0077202122545946905
0.5,0.011475832950778427,0.007282797794954124,0.00859114019504104
0.75,0.01054930111612079,0.0073177184220063205,0.009351618414880202
1.0,0.009733150329736586,0.0073043200602812015,0.010012716522527353
1.5,0.008389765147559772,0.00715781661895689,0.011076136140194119
2.0,0.007370371127431365,0.006887522303563692,0.011851441206612188
3.0,0.006065006329151389,0.006110134287558423,0.012758478717524677
4.0,0.005437998088703693,0.005176545792196591,0.013082756757149767
5.0,0.0052332414189099966,0.004211971228474701,0.013057462212137941
6.0,0.005279919248481804,0.0032891438300335736,0.012835981993232454
7.0,0.005465955685917496,0.002446640615248942,0.012517137267019585
8.0,0.005719389779168976,0.0017013470894004126,0.012162810673963173
9.0,0.005995374217518718,0.0010568410400503677,0.011810187320934647
10.0,0.0062671548046384805,0.0005089527177691816,0.011480196757755393
12.0,0.0067462358429447675,-0.000331979012445034,0.010923335989704923
15.0,0.007255630156694806,-0.0011096511941027245,0.010354402009323518
20.0,0.007671512998128228,-0.0016742404673665769,0.009903894123023343
25.0,0.00781443387147743,-0.0018522414508291725,0.00975226070149495
30.0,0.007859137257314169,-0.0019052169381451201,0.00970536918332201
