DATE,b0_level,b1_slope,b2_curvature,lambda
2018-01-02,0.028238980328103576,-0.014109269059530574,0.006265791272220053,0.2848789190784543
2018-01-03,0.027739409318058288,-0.013779427626747883,0.007395563463521585,0.2848789190784543
2018-01-04,0.027631099382112195,-0.013683621281595233,0.008351250014311523,0.2848789190784543
2018-01-05,0.02778382102796385,-0.01405209404661625,0.008964633474096043,0.2848789190784543
2018-01-08,0.02796672988500684,-0.013937433485114725,0.008257270739214374,0.2848789190784543
2018-01-09,0.02872497333442657,-0.014906636042996033,0.008822220252185977,0.2848789190784543
2018-01-10,0.02886685201113933,-0.014999990339064009,0.008368056750729014,0.2848789190784543
2018-01-11,0.029086523270880443,-0.015159005731373385,0.007688627522881356,0.2848789190784543
2018-01-12,0.028260083985809977,-0.014419421918612731,0.01014491763089833,0.2848789190784543
2018-01-15,0.028260083985809977,-0.014419421918612731,0.01014491763089833,0.2848789190784543
2018-01-16,0.027922678039395958,-0.013814735570458538,0.010425921782238674,0.2848789190784543
2018-01-17,0.02785542642877352,-0.013905856004452932,0.011938790395270944,0.2848789190784543
2018-01-18,0.028551286597585053,-0.014701958652243628,0.01212668144207471,0.2848789190784543
2018-01-19,0.02849054957707557,-0.014773303512170467,0.01325236249980611,0.2848789190784543
2018-01-22,0.028617945040381353,-0.014870239013330708,0.01355729305803484,0.2848789190784543
2018-01-23,0.028446675387345032,-0.014752587346154436,0.01283659088680321,0.2848789190784543
2018-01-24,0.028750921459753175,-0.01509938000880272,0.0130035230842303,0.2848789190784543
2018-01-25,0.02816532744529477,-0.014551184358028399,0.01367572367631268,0.2848789190784543
2018-01-26,0.0281051219504282,-0.01456121290470183,0.01561255671288067,0.2848789190784543
2018-01-29,0.02859676037816733,-0.014838704981301703,0.014994320993654034,0.2848789190784543
2018-01-30,0.029411645001664124,-0.014791814901342765,0.012480669209809812,0.2848789190784543
2018-01-31,0.02873646799189098,-0.014255064737170557,0.014339579703792762,0.2848789190784543
2018-02-01,0.029379937603863218,-0.01505437962470705,0.015184780893786677,0.2848789190784543
2018-02-02,0.030379478003597617,-0.016132068725734132,0.014477535957727147,0.2848789190784543
