DATE,PC1,PC2,PC3
2018-01-02,-1.2025824021350195,0.2672259763981344,0.1808817307169344
2018-01-03,-1.2436734162018679,0.32879499368852777,0.17496859974446108
2018-01-04,-1.271595803528387,0.36374395333126014,0.19344563615502894
2018-01-05,-1.2989096275338583,0.3521869511958043,0.229128241704555
2018-01-08,-1.264382484327104,0.33859054524709314,0.21722752567625417
2018-01-09,-1.2888824285427765,0.2746342609852051,0.3027153502936696
2018-01-10,-1.2734153506756334,0.253452377895276,0.30057144455074647
2018-01-11,-1.2508270252800417,0.22026528249532068,0.298279833256598
2018-01-12,-1.326281874764272,0.352626079729848,0.3006463773006331
2018-01-15,-1.326281874764272,0.352626079729848,0.3006463773006331
2018-01-16,-1.3222718066466153,0.4085665582834654,0.27367585125219285
2018-01-17,-1.3728276492337241,0.44495652135158154,0.31508574670951983
2018-01-18,-1.3815117965918522,0.38383577765462557,0.3818342718785077
2018-01-19,-1.4198248192495102,0.41078349390324426,0.4120821107725686
2018-01-22,-1.4267781273738072,0.4106962520639178,0.43087208588166936
2018-01-23,-1.409213794575972,0.401220359072731,0.39702098920961615
2018-01-24,-1.4153553061490205,0.37695590892727504,0.4286008056996846
2018-01-25,-1.4373700335707396,0.4426942570483887,0.39912134899295626
2018-01-26,-1.4957657200964638,0.4967331261436014,0.45114445296449834
2018-01-29,-1.4670996024193212,0.45334453429345745,0.46995904293886054
2018-01-30,-1.353341197472803,0.37678593354901174,0.44634500968258456
2018-01-31,-1.4139874882272183,0.47588430327021536,0.4456695790854539
2018-02-01,-1.4440580660486293,0.43350258701459315,0.5281290823228968
2018-02-02,-1.425692173801072,0.32323760081277925,0.5944571264518513
2018-02-05,-1.3189838995525536,0.2393024683995011,0.49677524491204994
2018-02-06,-1.2940451913562132,0.24159432793321384,0.49909196303360964
2018-02-07,-1.3468229165132564,0.23631195652722803,0.585458277779728
2018-02-08,-1.3488123865081982,0.1961323547511838,0.6090186480532112
2018-02-09,-1.278010281507391,0.08640518018831563,0.5753385507820051
2018-02-12,-1.2676583616735486,0.15960628272392047,0.5648900551654222
2018-02-13,-1.2872188717683988,0.2075370765404247,0.5411867981791245
2018-02-14,-1.3926115003306825,0.2705392096972098,0.66506150875942
2018-02-15,-1.421516171201485,0.34026678614231587,0.6483249388119143
2018-02-16,-1.365335598787658,0.3396634627722816,0.594319844045961
2018-02-19,-1.365335598787658,0.3396634627722816,0.594319844045961
2018-02-20,-1.3252108746801583,0.3271800357592976,0.5865461759706087
2018-02-21,-1.3421681901100084,0.26816608222754945,0.6665840852630295
2018-02-22,-1.355255149644015,0.2663380635996373,0.659936501978718
2018-02-23,-1.311696586332734,0.29097016171258583,0.5854868684023653
2018-02-26,-1.2652039159671356,0.26109001832684015,0.5508217720146011
2018-02-27,-1.2885423345350464,0.32426257168113437,0.5822899584306296
2018-02-28,-1.2896953987447772,0.3605454558324693,0.5436242343053032
2018-03-01,-1.2411860606043998,0.3298487696084577,0.47511877831688654
2018-03-02,-1.2619743898182965,0.3187250752247232,0.5347455687042098
2018-03-05,-1.233717680197347,0.28793900351874535,0.541334689526253
2018-03-06,-1.2438667306158022,0.3258415544557213,0.5307945187364078
2018-03-07,-1.233737220313251,0.30271145405165395,0.5367560326548043
2018-03-08,-1.2270128871558343,0.32891421596776876,0.5053725820189341
2018-03-09,-1.2490162701056144,0.3188491306397019,0.5489441460939108
2018-03-12,-1.2130455876839195,0.34543193762886937,0.4927540389790712
2018-03-13,-1.173140380021701,0.3435891793009243,0.44594582369879376
2018-03-14,-1.1323986269907387,0.4013983785664859,0.37500138197125577
2018-03-15,-1.14869443118075,0.4352490705982259,0.381000141364021
2018-03-16,-1.1531807171137232,0.4294828779228487,0.40798623593961814
2018-03-19,-1.1359288111851387,0.41401418318428584,0.40645338249826835
2018-03-20,-1.1440119826085469,0.4107345542443695,0.4447649188066701
2018-03-21,-1.189238411965073,0.3986752996422059,0.474950731531591
2018-03-22,-1.1908316712026745,0.4457146900210343,0.4103381225566014
2018-03-23,-1.153539348004697,0.40071573130649146,0.39213731504125304
2018-03-26,-1.1559311374846888,0.42795143256168244,0.40965815449281384
2018-03-27,-1.1100023179436795,0.4170147086763047,0.32978126954724796
2018-03-28,-1.1739094961025733,0.5002558332814568,0.34393638937565585
2018-03-29,-1.1801511085035061,0.5273995348901299,0.3088547309615297
2018-03-30,-1.1801511085035061,0.5273995348901299,0.3088547309615297
2018-04-02,-1.120996265866307,0.47795398200076233,0.27939669855047683
2018-04-03,-1.1579537909185404,0.47317175465948386,0.3501792033526529
2018-04-04,-1.1964285623302697,0.47388725550278815,0.38052475066752894
2018-04-05,-1.1995443447880205,0.45111886715017474,0.4212769844018708
2018-04-06,-1.1582923702907184,0.45945565586147313,0.34064767715446953
2018-04-09,-1.1717292406476867,0.49507473301186994,0.34935767136739415
2018-04-10,-1.2338805116162557,0.5548931499886227,0.3814353680682414
2018-04-11,-1.2392797815828405,0.5964039711464308,0.35780509928979565
2018-04-12,-1.2512571287040273,0.5717772633029066,0.4174149140109682
2018-04-13,-1.2653863870621187,0.6254591363177091,0.4037134630659691
2018-04-16,-1.2732989504699384,0.6520900477697256,0.40658107380233666
2018-04-17,-1.2491731697582327,0.6978318333852979,0.3640304144058686
2018-04-18,-1.2802516349269213,0.6719044472137989,0.4400744858183128
2018-04-19,-1.2810750404060252,0.6285272271756404,0.4948019585486364
2018-04-20,-1.3264774387622358,0.6453272158377988,0.5486959545927974
2018-04-23,-1.3057843808669647,0.6686609080837214,0.5442291137637898
2018-04-24,-1.2758138091176465,0.6021885246077172,0.5608795883016968
2018-04-25,-1.3105602312119309,0.5776016609540673,0.614764771285406
2018-04-26,-1.3418092391450585,0.6266061377492258,0.5962196346617863
2018-04-27,-1.3506879913695147,0.6914004039554091,0.549018357504722
2018-04-30,-1.3154924491573308,0.7062935642026225,0.5093839035366421
2018-05-01,-1.3297868114090274,0.7200896141069993,0.5339493141064937
2018-05-02,-1.3058057175874858,0.6646946773845441,0.5344617171388927
2018-05-03,-1.2988242938408816,0.6732215670792946,0.509057361854712
2018-05-04,-1.3104750152010762,0.6905971979535237,0.514267983720383
2018-05-07,-1.2853844018020917,0.6815118548777623,0.5006443186229801
2018-05-08,-1.3109103553434909,0.7057715560042551,0.5274262648974622
2018-05-09,-1.3313171242127555,0.7054721549261243,0.5667428392002789
2018-05-10,-1.3328187641433225,0.7612820502587305,0.528540981406057
2018-05-11,-1.344680434911675,0.8001982844642705,0.5190882737719036
2018-05-14,-1.3217897301945645,0.7605620112930758,0.5376856704440132
2018-05-15,-1.373447738597934,0.7442809895580961,0.6402352101160107
2018-05-16,-1.3803479311599773,0.7404732024788643,0.6573659045332885
2018-05-17,-1.3488695643114654,0.6660759020802378,0.6788560495316451
2018-05-18,-1.3393555686650793,0.692258510040656,0.6235281337539947
2018-05-21,-1.314149049891315,0.7192141773210401,0.5997224737982264
2018-05-22,-1.301348187955086,0.6974896192449118,0.6023107825806058
2018-05-23,-1.2325773055402471,0.637045866661467,0.528135982309075
2018-05-24,-1.2520750348063687,0.6724267340865664,0.5049489509236922
2018-05-25,-1.2378634745557677,0.6722978029834443,0.45430514931519783
2018-05-28,-1.2378634745557677,0.6722978029834443,0.45430514931519783
2018-05-29,-1.0354992819216151,0.546791546675792,0.22551263351186226
2018-05-30,-1.1195885875301244,0.639830202358219,0.31376395274373164
2018-05-31,-1.137972126502484,0.668917248081131,0.3087449664472383
2018-06-01,-1.2131842352824722,0.7350481724845858,0.3868813885073392
2018-06-04,-1.2122969649659832,0.7315813190148248,0.4240147298267783
2018-06-05,-1.1591541747337564,0.6975728699172511,0.3861591330759676
2018-06-06,-1.1849491802410939,0.6671164554842167,0.45963545148469476
2018-06-07,-1.1908231584670927,0.7060139590218232,0.41297745811833053
2018-06-08,-1.1958900307678904,0.7056426896859795,0.4162386770009225
2018-06-11,-1.2039011375652575,0.7172055185752682,0.43967709345833456
2018-06-12,-1.2384502442822976,0.7530019342809835,0.45114912902575205
2018-06-13,-1.2762891188624488,0.813493917810853,0.47966417291961955
2018-06-14,-1.2738215374509774,0.8571693973752699,0.4268757353828081
2018-06-15,-1.254295133055554,0.8345016655414816,0.41424564358007754
