,b0_level,b1_slope,b2_curvature,lambda
2018-01-02,0.0281720895216643,-0.014344782348917924,-0.0001562155837537787,0.48663158126827416
2018-01-03,0.027755832039351863,-0.014193419562974657,1.2595653113185076e-05,0.5305275314939706
2018-01-04,0.02763302860144423,-0.014178059280284356,0.00021848612537068188,0.5749676813350769
2018-01-05,0.027789217417562285,-0.014603410183986898,1.2412448132385411e-05,0.6037595995224165
2018-01-08,0.02809558662207054,-0.01443976063890485,9.114435341592275e-05,0.5403428034411825
2018-01-09,0.028853637773394798,-0.015446371843241078,-0.00016771715286451042,0.5516052309764431
2018-01-10,0.02898227722821062,-0.015480708769855618,8.691344155722426e-06,0.5231830141018476
2018-01-11,0.029124371166899993,-0.015523696065076148,0.00013878135669820077,0.4973219899184154
2018-01-12,0.028568979416917717,-0.01519879617395389,0.00023743869517923557,0.5854080639917437
2018-01-15,0.028568979416917717,-0.01519879617395389,0.00023743869517923557,0.5854080639917437
2018-01-16,0.028269239682341782,-0.01465679776570434,2.5477929209476006e-05,0.6233889112454385
2018-01-17,0.02836158262821324,-0.01505324022664739,-0.00010697234559512612,0.6901573658135542
2018-01-18,0.029064142151228746,-0.015821965977735025,-0.0005118304285714709,0.6794448964501019
2018-01-19,0.02915273801392059,-0.016119767686347142,5.139527370178366e-05,0.6911287479626996
2018-01-22,0.02932414893854408,-0.0162519410094332,-9.705839031776009e-05,0.6998637701786554
2018-01-23,0.029012113263621304,-0.015979463843057602,1.747170572782353e-05,0.6856457867513959
2018-01-24,0.02930134470906759,-0.016340131334154046,0.0001609069873038792,0.6792846426590947
2018-01-25,0.028770573879229787,-0.016002879511201565,0.00033632898420393867,0.7372007373101037
2018-01-26,0.028963117644760502,-0.016438804026102316,3.8036346125888125e-06,0.832052380503038
2018-01-29,0.029507382224313945,-0.016521479986318113,0.0001926043286656751,0.736205529009664
2018-01-30,0.030090019266846645,-0.0159660756052381,3.353352373957334e-05,0.6329529648370212
2018-01-31,0.029656954163205254,-0.015844539440597587,-0.0002537232868345497,0.7368037137388684
2018-02-01,0.030410591343578475,-0.016732387466288717,-0.00022376120506659172,0.7200646396921412
2018-02-02,0.03130247493677062,-0.017587206265370366,3.7379323237665505e-05,0.6431279111953271
2018-02-05,0.0309767746620381,-0.016873244516631865,-0.0002497417457314428,0.559540779072256
2018-02-06,0.031200863607732585,-0.016670990195483466,-0.0001146142165771455,0.5444437337089485
2018-02-07,0.03166267295210226,-0.01749005473105356,8.512184577471891e-05,0.5922564949183035
2018-02-08,0.031918664250982706,-0.017902225769755444,-3.4764783722482536e-05,0.5839482230565578
2018-02-09,0.032146306579444964,-0.017956917778493377,-0.00012583409889969474,0.5013280325612453
2018-02-12,0.03209933301758307,-0.01734025163179307,-8.918606448432509e-05,0.5226825989882857
2018-02-13,0.031572773673858495,-0.016988183138986247,0.0001897701821241363,0.5501624580316349
2018-02-14,0.032158110820773037,-0.017991858800226614,0.00037823256671891967,0.6436227373145955
2018-02-15,0.0316899880780589,-0.017708890329263528,-0.00012523389761503616,0.7302283194323534
2018-02-16,0.031480837412159755,-0.017004265617970547,5.518579245984086e-05,0.6922558634198224
2018-02-19,0.031480837412159755,-0.017004265617970547,5.518579245984086e-05,0.6922558634198224
2018-02-20,0.03165868608993437,-0.016755189781195702,8.832496656507527e-05,0.6761639158403097
2018-02-21,0.03244743409386775,-0.017627489786157458,-0.00016337544488743521,0.6677289555689779
2018-02-22,0.03221214228251523,-0.017716561421592236,0.00022506252679025448,0.6715233119251324
2018-02-23,0.03169757006756114,-0.016844450186148524,0.00041509890484160044,0.6439797500888036
2018-02-26,0.03167663029375531,-0.016528383621951512,-5.077897531150129e-05,0.6159524321825982
2018-02-27,0.03186542057488897,-0.01647145056751511,0.0003622628374516358,0.6523664182845583
2018-02-28,0.03148317818011932,-0.016070631316460117,-4.111851748947645e-05,0.6688632426845708
2018-03-01,0.030993203930019878,-0.015516043446365178,-2.0567919063723524e-05,0.627188458157824
2018-03-02,0.03155957527542231,-0.01606986641721372,3.980585267983676e-05,0.6326067452448487
2018-03-05,0.03192471996275582,-0.016099692062832002,-0.0002709284870255002,0.6003247513772565
2018-03-06,0.031705655025124437,-0.015864740395891887,-4.4114278109096656e-05,0.6179890495852508
2018-03-07,0.03190465385492055,-0.015982906780915754,-0.0003069808100433409,0.6013466763467028
2018-03-08,0.03150050085157537,-0.015574602786200754,-1.9386609639097305e-05,0.6134320122031475
2018-03-09,0.031873939231130445,-0.01601751233661375,4.6382694621091316e-05,0.6151947364637507
2018-03-12,0.031507946060380126,-0.0153169535471469,0.00016265653903858935,0.5995049613468604
2018-03-13,0.03134099020323547,-0.014849016683528223,0.00023428710802058628,0.5598232945506815
2018-03-14,0.030865362800292732,-0.013816726398081387,0.0004312478910938839,0.5428379649223447
2018-03-15,0.03077426163993184,-0.013754459568030064,0.0002879495918807856,0.5867663911558357
2018-03-16,0.031040872255631995,-0.013963454726507167,0.00013236240274185228,0.6007102275417294
2018-03-19,0.031147877623684823,-0.013943840319849079,-0.00041943664248776105,0.6106972319119416
2018-03-20,0.03155160545952104,-0.014180451504302647,0.00035394406540050876,0.5765590022863747
2018-03-21,0.03157801794511284,-0.01474941228191135,-9.475927614413723e-05,0.6089756051482103
2018-03-22,0.030776748649627577,-0.014142867450609038,-9.613294128727628e-08,0.6354447307728291
2018-03-23,0.030884270340596987,-0.014058533235559351,-1.3200225810308009e-05,0.5773450546338038
2018-03-26,0.031038714054059727,-0.01399004710389389,9.1022729393574e-06,0.6052710742515907
2018-03-27,0.03039958626212599,-0.013318788487305236,0.00015853534108513422,0.5715115447149239
2018-03-28,0.030010341842732005,-0.013345676886649015,5.270396367402213e-05,0.691506755600448
2018-03-29,0.029555781511138336,-0.013067469794887028,0.00023642443509852792,0.7052722738916432
2018-03-30,0.029555781511138336,-0.013067469794887028,0.00023642443509852792,0.7052722738916432
2018-04-02,0.029740899339706348,-0.012766312305031259,-0.00021132355342229868,0.6242700690669214
2018-04-03,0.030312566111658588,-0.013434063978474903,6.861703991128707e-05,0.6315844237426682
2018-04-04,0.030353839741919433,-0.013851250337182148,0.0001879161242656564,0.6526918992646435
2018-04-05,0.030805509136176298,-0.014244601598250153,0.00012866955867276372,0.6502121513696826
