,kappa,theta,sigma,half_life_days,log_likelihood
PC1,44.59200150360935,-0.0037746992298003314,12.437920928192737,3.917139478185743,-2271.86966209212
PC2,0.5157297634941529,0.34471663057457014,1.2504424259012425,338.69111667643085,2343.2092200486168
PC3,50.0,-0.003519308769384319,8.294855774076662,3.4934617900221245,-1405.8168777250892
PC4,32.626746527156335,0.00023244831826147952,3.5415677736167543,5.353677828579075,301.5230893344592
